Kab/kota,Provinsi,Kategori,Divaksin 1
Kab. Lampung Selatan,Lampung,LANSIA,2
Kab. Lampung Selatan,Lampung,LANSIA,38
Kab. Lampung Selatan,Lampung,LANSIA,4
Kab. Lampung Selatan,Lampung,LANSIA,21
Kab. Lampung Selatan,Lampung,LANSIA,4
Kab. Lampung Selatan,Lampung,LANSIA,56
Kab. Lampung Selatan,Lampung,LANSIA,58
Kab. Lampung Selatan,Lampung,LANSIA,5
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,1
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,0
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,0
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,1
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,8
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,4
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,11
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,9
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,10
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,12
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,6
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,9
Kab. Lampung Selatan,Lampung,PEGAWAI PEMERINTAH,14
Kab. Lampung Selatan,Lampung,REMAJA,1
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,2
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,0
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,0
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,2
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,0
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,1
Kab. Lampung Selatan,Lampung,LANSIA,2
Kab. Lampung Selatan,Lampung,LANSIA,133
Kab. Lampung Selatan,Lampung,LANSIA,7
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,0
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,4
