Batch,Provinsi,Kab/kota,Kategori,Divaksin 1
LANSIA,Lampung,Kab. Pesawaran,LANSIA,4
LANSIA,Lampung,Kab. Pringsewu,LANSIA,10
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,4
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,1
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,29
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,1
LANSIA,Lampung,Kab. Mesuji,LANSIA,2
LANSIA,Lampung,Kab. Tulang Bawang Barat,LANSIA,1
LANSIA,Lampung,Kab. Way Kanan,LANSIA,1
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,1
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,1
LANSIA,Lampung,Kab. Pringsewu,LANSIA,4
LANSIA,Lampung,Kab. Tulang Bawang Barat,LANSIA,2
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,2
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,9
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,1
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,316
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,2
LANSIA,Lampung,Kab. Tanggamus,LANSIA,65
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,2
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,2
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,58
LANSIA,Lampung,Kab. Mesuji,LANSIA,1
LANSIA,Lampung,Kab. Pesawaran,LANSIA,2
LANSIA,Lampung,Kab. Pringsewu,LANSIA,4
LANSIA,Lampung,Kab. Tanggamus,LANSIA,5
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,1
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,506
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,45
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,2
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,86
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,36
LANSIA,Lampung,Kab. Pesawaran,LANSIA,1
LANSIA,Lampung,Kab. Tanggamus,LANSIA,53
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,36
LANSIA,Lampung,Kab. Tulang Bawang Barat,LANSIA,1
LANSIA,Lampung,Kab. Lampung Barat,LANSIA,1
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,85
LANSIA,Lampung,Kab. Mesuji,LANSIA,1
LANSIA,Lampung,Kab. Pesawaran,LANSIA,36
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,2
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,10
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,83
LANSIA,Lampung,Kab. Pesawaran,LANSIA,35
LANSIA,Lampung,Kab. Tanggamus,LANSIA,3
LANSIA,Lampung,Kab. Way Kanan,LANSIA,4
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,0
LANSIA,Lampung,Kab. Mesuji,LANSIA,0
LANSIA,Lampung,Kab. Pringsewu,LANSIA,2
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,1
LANSIA,Lampung,Kab. Tulang Bawang Barat,LANSIA,8
LANSIA,Lampung,Kab. Lampung Barat,LANSIA,2
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,1
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,8
LANSIA,Lampung,Kab. Mesuji,LANSIA,0
LANSIA,Lampung,Kab. Pringsewu,LANSIA,1
LANSIA,Lampung,Kab. Tanggamus,LANSIA,4
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,28
LANSIA,Lampung,Kab. Tulang Bawang Barat,LANSIA,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,67
LANSIA,Lampung,Kab. Lampung Barat,LANSIA,14
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,1
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,0
LANSIA,Lampung,Kab. Tanggamus,LANSIA,0
LANSIA,Lampung,Kab. Tulang Bawang Barat,LANSIA,1
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,49
